

        NoDur  Durbl  Manuf  Enrgy  HiTec  Telcm  Shops  Hlth   Utils  Other
192607   1.43  15.61   4.60  -1.17   2.90   0.83  -2.81   1.64   7.10   2.13
192608   4.00   3.64   2.79   3.24   2.66   2.17  -0.54   4.51  -1.74   4.31
192609   1.20   4.88   1.22  -3.31  -0.38   2.41   0.14   0.61   1.96   0.29
192610  -1.34  -8.22  -3.61  -0.78  -4.58  -0.11  -5.31  -0.73  -2.67  -2.86
192611   5.15  -0.20   4.14  -0.44   4.71   1.63   4.05   5.53   3.76   2.15
192612   0.84   9.91   3.70   2.79  -0.02   1.99   2.89   0.15  -0.12   3.39
192701  -0.63  -0.91  -0.06   1.21  -1.14   1.88  -3.19   4.91  -1.77   1.52
192702   3.34   8.88   5.80   1.43   4.45   3.97   4.55   1.65   4.60   5.05
192703   2.69   1.65   1.47  -5.91   1.45   5.56   2.85   0.88   0.44   1.26
192704   3.31   3.17   0.78  -5.04   5.40  -2.08   2.21   3.25   1.65   0.91
192705   8.17   5.92   5.09   4.80   7.37   3.35   0.63   4.01   9.31   6.20
192706  -1.75  -2.95  -2.78  -3.16   3.28  -2.14   0.21   0.45  -3.64  -1.98
192707   5.15  13.13  10.39   2.90  11.89   3.73   9.46   9.84   5.31   6.18
192708   2.43   7.02   3.67   0.00   5.79   0.43  13.08   0.28   3.43  -1.20
192709   5.31   5.73   4.75   3.33   1.42   6.53   5.12   5.65   8.29   4.75
192710  -0.80  -4.38  -6.70  -2.06  -7.19  -2.09  -6.01   5.13  -4.34  -3.80
192711   6.44   6.35  10.85   4.15  10.56   2.83  10.92   3.68   6.32   4.53
192712   2.47   7.78   3.08   0.90   1.18   1.33  -0.18  -0.46   2.24   2.00
192801   0.56  -3.34  -0.57  -1.87  -0.40   0.30  -0.56   2.69   5.87  -1.17
192802  -3.99   1.30  -1.89  -0.21  -0.45  -0.30  -1.67  -1.38  -0.70  -1.94
192803   4.36  27.62   8.20   5.38  19.22   1.96   8.78   7.60   6.58   6.05
192804  -0.43   1.42   1.47  15.09   2.23   3.22   0.53   2.35  10.94   4.10
192805   0.85   5.64   3.54  -5.34   2.57   6.47   3.97   9.27   1.51   0.09
192806  -4.33  -4.03  -4.90  -4.02  -5.13  -5.23  -4.10  -3.15  -3.43  -4.22
192807   1.88   0.85   1.90   0.98   0.63  -1.28   4.85   2.68  -1.15  -0.20
192808   5.92   9.06   8.51   2.37  10.06   4.55  11.94  15.11   6.30   4.90
192809   1.28   7.78   4.03   5.09   0.73   0.15   1.53  -1.50   3.03   2.08
192810   0.73   0.14   4.26   2.02   1.82   2.97   4.10  -0.08  -1.78  -0.20
192811   6.69   4.48  13.12  17.44  19.67   6.68  14.16   5.05  22.07  10.09
192812  -0.46  -1.26   3.01  -4.15   7.14  -0.38  -2.62  -0.28   1.63   0.55
192901   3.38   1.27  10.96  -7.71  10.44  13.38  -4.26   3.16  13.75   5.84
192902  -2.51  -0.11   3.54   0.07  -0.75  -1.15  -2.48  -0.16  -2.17  -0.20
192903  -4.54  -1.83  -1.60  11.10   4.49   4.29  -5.71  -1.93  -3.14  -2.49
192904   1.74  -1.01   2.53   0.70   1.67   3.39   2.99   1.55   5.44   0.66
192905  -3.99 -15.02  -9.77  -5.55   0.46  -8.76  -7.17  -7.67   5.41   0.01
192906   5.38   6.92  13.28   1.16  17.04  13.70   8.12   4.13  22.93   5.93
