
        Agric  Food   Soda   Beer   Smoke  Toys   Fun    Books  Hshld  Clths  Hlth   MedEq  Drugs  Chems  Rubbr  Txtls  BldMt  Cnstr  Steel  FabPr  Mach   ElcEq  Autos  Aero   Ships  Guns   Gold   Mines  Coal   Oil    Util   Telcm  PerSv  BusSv  Comps  Chips  LabEq  Paper  Boxes  Trans  Whlsl  Rtail  Meals  Banks  Insur  RlEst  Fin    Other
192607   2.37   0.10 -99.99  -5.19   1.29   8.65   1.87  50.21  -0.50   8.08 -99.99   4.95   0.79   7.92 -99.99   0.68   2.38  -8.21   4.03 -99.99   5.48   3.18  16.45  -0.65   0.97 -99.99 -99.99   5.64   1.54  -1.39   7.10   0.83 -99.99   5.85   3.76   1.31   1.35 -99.99   7.66   1.92 -23.79  -2.94   1.83   5.20  -0.54   2.89  -4.66   5.72
192608   2.23   2.82 -99.99  27.03   6.53  16.81  -0.65  42.98  -3.58  -2.51 -99.99   4.20   4.59   5.41 -99.99   7.49   4.53   7.37   2.15 -99.99   2.12   2.10   4.19  -6.58   1.89 -99.99 -99.99   0.55   0.85   3.44  -1.74   2.17 -99.99   1.51   3.57  -4.70   6.89 -99.99  -2.37   4.92   5.39  -0.56  -0.09  -1.01   2.57   5.30   0.15   7.04
192609  -0.57   1.73 -99.99   4.02   1.22   8.33   5.71  -4.91   0.71  -0.51 -99.99   4.02  -0.31   5.37 -99.99   2.40  -0.12 -11.76   0.29 -99.99   0.34  -0.56   4.89  -7.09   2.72 -99.99 -99.99   1.75   0.30  -3.60   1.96   2.41 -99.99   0.80   4.23  -6.04  -0.63 -99.99  -5.55   0.08  -7.87   0.17  -0.58  -2.25   0.72  -3.06  -3.33  -4.01
192610  -0.46  -3.75 -99.99  -3.31   1.07  -1.40  -4.68   5.37  -4.66   0.12 -99.99   3.47  -1.90  -4.79 -99.99   0.07  -4.38  -8.59  -3.79 -99.99   1.11  -5.73  -7.93 -13.36  -5.20 -99.99 -99.99  -3.20   2.23  -1.04  -2.67  -0.11 -99.99   1.81  -2.47  -3.92   0.21 -99.99  -5.03  -2.66 -15.38  -5.34  -4.13 -15.05  -4.28  -5.74   0.80  -8.83
192611   6.75   6.16 -99.99   7.29   4.41   0.00   2.85  -6.40  -0.51   1.87 -99.99   4.33   5.89   5.34 -99.99   3.48   2.23   2.25   3.88 -99.99   3.21   5.08  -0.68   6.61   7.66 -99.99 -99.99   8.46  -0.48  -0.43   3.76   1.63 -99.99   0.79   3.28   1.31   4.25 -99.99   3.81   1.61   4.67   4.04   4.32  -5.45   3.58   2.21   4.59   4.17
192612  -3.27   0.23 -99.99  -4.09   2.57   2.48   1.54  -3.29   2.53   0.60 -99.99  -3.28   1.14   5.42 -99.99   6.92   3.58   0.76   3.65 -99.99   5.01  -2.47  10.52   9.17   2.39 -99.99 -99.99   1.83   1.43   2.91  -0.12   1.99 -99.99   5.16   4.38  -0.51  10.14 -99.99  -4.59   3.59   9.65   2.93   1.52  -1.06   3.27   7.95  -0.38  -2.44
192701  -3.66  -0.01 -99.99   0.57  -0.33   1.73   2.53   1.21   4.07  -1.06 -99.99   5.45   4.77   0.24 -99.99  -2.90  -1.69  -3.55  -0.36 -99.99   1.17  -1.02  -0.80  -2.29  -0.56 -99.99 -99.99   4.17  -3.06   1.59  -1.77   1.88 -99.99   5.85   0.73   1.48  -3.01 -99.99  -2.58   1.43 -17.93  -3.34   1.53  -5.37  -0.82  -1.56  -4.92  -4.13
192702   7.65   3.53 -99.99  12.83   1.58  -6.12   2.12  10.31   4.59   2.77 -99.99   5.19   0.66   9.62 -99.99   8.06   4.14   8.01   3.68 -99.99   7.87   4.30   9.53  -3.91   4.70 -99.99 -99.99   5.20   5.64   1.08   4.60   3.97 -99.99   5.86   6.82   5.82   3.68 -99.99   5.41   5.19   3.49   4.48   6.81   8.30   0.66   4.30   2.28   0.30
192703  -0.60   2.59 -99.99 -13.56   5.55  -8.89   1.36  -7.83  -0.08   0.90 -99.99   1.25   0.77   6.28 -99.99  -5.85   3.45   5.04   1.43 -99.99  -2.25   0.40   1.58   0.00  -1.78 -99.99 -99.99   4.44   5.45  -6.91   0.44   5.56 -99.99  -3.99   5.94 -12.30   6.26 -99.99  -9.68   1.06 -20.47   3.05  -2.44  -7.96   7.34  -4.30   1.03   2.28
192704   5.39   1.97 -99.99   2.85   4.09  -0.41  -3.56   3.77   1.44   5.95 -99.99  -0.37   4.29   2.97 -99.99   0.68  -0.82  -8.67  -0.28 -99.99   1.78   6.29   2.92 -11.48  -0.67 -99.99 -99.99   3.02   0.95  -5.64   1.65  -2.08 -99.99   0.74   4.73   8.82   1.43 -99.99   4.89   0.78 -10.75   2.09   6.02  -5.99   3.09   0.68  13.65   4.71
192705   4.12   6.61 -99.99  11.62  11.87  -4.90  -0.16  -1.48  10.60   3.38 -99.99   5.88   3.49   3.99 -99.99  14.75   8.21 -10.44   3.15 -99.99   8.82   8.23   5.52  31.94  10.55 -99.99 -99.99   0.26   3.19   4.98   9.31   3.35 -99.99  16.79   5.58  -0.14   5.63 -99.99   5.36   6.64  -4.01   0.49   4.69   8.69  12.58   4.33  11.43   1.40
192706  -3.40  -1.89 -99.99  10.05  -2.24  -3.52  -7.31  -6.00  -3.01   1.17 -99.99   3.68  -0.47  -1.80 -99.99   2.62  -4.39 -13.78  -3.36 -99.99  -2.28   3.47  -3.33  14.49  -4.31 -99.99 -99.99  -1.93  -3.35  -3.14  -3.64  -2.14 -99.99   1.41  -1.93   2.00   5.41 -99.99   5.38  -1.88  -4.18   0.17   1.26 -10.47   0.84   3.59   2.17  -3.91
192707   6.05   4.88 -99.99   4.59   4.41   2.64   0.55  -0.53   5.52   6.02 -99.99  11.44   9.33  17.68 -99.99  13.94   6.87  -0.80  10.36 -99.99   9.61  14.29  13.75  -2.78  -3.39 -99.99 -99.99   9.77   2.19   2.96   5.31   3.73   1.79   2.37   2.53  12.25   6.89 -99.99  12.02   6.04  11.11   9.66   4.68   3.34  13.64   3.91   3.70   6.81
192708   1.99   2.35 -99.99  -3.98   3.86   7.38   4.84   0.66   0.52   1.53 -99.99  -2.24   1.09   2.10 -99.99  -8.52  -1.12  -2.11   3.99 -99.99   0.90   7.00   7.36  30.16  11.97 -99.99 -99.99  -0.39   2.43  -0.22   3.43   0.43   2.86   7.98   9.68  -8.32   0.75 -99.99   3.76  -1.69  -2.58  13.59   0.55   5.04   0.14   2.01   2.14   5.92
